µPMU location,PSL-Alameda,
µPMU latitude,44.47915,
µPMU longitude,-73.19798,
sample interval (msec),date stamp,time stamp,status,L1-E voltage RMS fundamental magnitude,L1-E voltage fundamental angle,L2-E voltage RMS fundamental magnitude,L2-E voltage fundamental angle,L3-E voltage RMS fundamental magnitude,L3-E voltage fundamental angle,L1 current RMS fundamental magnitude,L1 current fundamental angle,L2 current RMS fundamental magnitude,L2 current fundamental angle,L3 current RMS fundamental magnitude,L3 current fundamental angle,center frequency offset,disciplined vs GPS pps difference,ppl state,pps prd,gps alt,gps hasfix,gps hdop,gps lat,gps lon,gps satellites,gps state,fundamental W total,fundamental VAR total,fundamental VA total,fundamental dPF total,frequency one second L1-E,frequency C37 L1-E,
8.333333,2023/10/5,19:0:0.4916667,34,121.6078,324.9372,0.08347114,11.36428,0.06916126,50.37065,0.0001190945,57.32688,1.445846E-05,28.28051,6.032464E-08,212.8101,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0006027204,-0.01447058,0.01448403,-0.04161275,60.02856,60.03089,
8.333333,2023/10/5,19:0:0.5000000,34,121.6474,325.0482,0.07057904,14.67614,0.06927762,48.77041,0.0001165494,54.48892,1.501207E-05,37.08105,2.115591E-07,40.54753,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,0.0001393979,-0.01417765,0.014179,0.009831296,60.02871,60.0351,
8.333333,2023/10/5,19:0:0.5083333,34,121.583,325.1473,0.07594839,18.84322,0.0661435,47.48853,0.0001174092,57.10581,1.032073E-05,31.44965,3.311728E-06,45.29683,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0004868633,-0.01426679,0.01427597,-0.0341037,60.02867,60.03386,
8.333333,2023/10/5,19:0:0.5166667,34,121.539,325.1813,0.06935269,16.48894,0.0684089,48.53445,0.0001162634,56.88739,1.216077E-05,29.43685,1.001473E-07,240.2799,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0004198848,-0.01412446,0.01413139,-0.02971292,60.0286,60.0204,
8.333333,2023/10/5,19:0:0.5250000,34,121.6611,325.2816,0.0656205,15.77136,0.06260207,47.29414,0.0001158244,58.98541,1.629355E-05,23.39295,4.953186E-08,184.8279,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0009092198,-0.01406203,0.01409239,-0.06451848,60.02852,60.02676,
8.333333,2023/10/5,19:0:0.5333333,34,121.5922,325.3344,0.07161838,21.79551,0.06659799,49.52007,0.0001118171,57.07723,1.600124E-05,21.43388,9.45694E-08,22.69427,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0004123444,-0.01358979,0.01359724,-0.0303256,60.02842,60.02173,
8.333333,2023/10/5,19:0:0.5416667,34,121.6674,325.4011,0.07458849,23.24955,0.07109419,47.80819,0.0001197384,56.96291,1.125224E-05,26.11214,1.140814E-07,205.8189,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0003962371,-0.0145629,0.01456911,-0.02719707,60.02839,60.02196,
8.333333,2023/10/5,19:0:0.5500000,34,121.5882,325.5249,0.07148526,16.5463,0.06202368,49.9191,0.0001147794,56.6672,1.514261E-05,34.63165,1.250085E-07,27.86652,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0002771819,-0.01395338,0.01395691,-0.01985984,60.02839,60.03319,
8.333333,2023/10/5,19:0:0.5583333,34,121.5419,325.5702,0.08083055,14.92304,0.06886379,48.24141,0.0001175742,57.35278,1.644137E-05,22.58436,1.34127E-07,210.174,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.000443218,-0.01428346,0.01429153,-0.03101264,60.02841,60.02366,
8.333333,2023/10/5,19:0:0.5666667,34,121.5927,325.6743,0.0779513,18.508,0.07027531,53.67895,0.0001159344,57.99947,1.318484E-05,26.58603,1.401541E-07,32.62169,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0005709034,-0.01408531,0.01409781,-0.04049589,60.02847,60.02947,
8.333333,2023/10/5,19:0:0.5750000,34,121.6332,325.7814,0.06676718,18.84371,0.06457793,47.59767,0.0001188415,56.80869,1.366692E-05,28.65992,1.400183E-07,215.0717,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0002582598,-0.01445291,0.01445599,-0.01786524,60.02845,60.03335,
8.333333,2023/10/5,19:0:0.5833333,34,121.6022,325.8773,0.0597224,23.06787,0.06731644,51.07998,0.0001152204,57.16875,1.267003E-05,27.42259,1.336859E-07,37.3763,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0003150034,-0.01400756,0.01401183,-0.02248125,60.02855,60.03337,
8.333333,2023/10/5,19:0:0.5916667,34,121.6061,325.8878,0.07691726,20.03064,0.07099546,50.04459,0.0001163896,58.09011,1.338537E-05,29.58895,1.230098E-07,219.6138,-3,12,1,150000014,124.4,1,0.84,44.47915,-73.19798,10,0,-0.0005428824,-0.0141434,0.01415471,-0.03835347,60.02837,60.01526,
